id,state_po,county,democrat,republican,dempct
907,KS,Russell,461.0,2574.0,0.15189456342668864
908,KS,Washington,387.0,2194.0,0.14994188299108874
909,KS,Clark,120.0,825.0,0.12698412698412698
910,KS,Crawford,5199.0,8624.0,0.376112276640382
911,KS,Grant,441.0,1804.0,0.19643652561247216
912,KS,Johnson,129852.0,137490.0,0.48571492694750545
913,KS,Lincoln,215.0,1179.0,0.15423242467718795
914,KS,Logan,149.0,1132.0,0.11631537861046058
915,KS,Phillips,300.0,2233.0,0.11843663639952626
916,KS,Saline,6317.0,13828.0,0.3135765698684537
917,KS,Scott,236.0,1865.0,0.11232746311280342
918,KS,Graham,188.0,1025.0,0.1549876339653751
919,KS,Cheyenne,181.0,1173.0,0.13367799113737075
920,KS,Douglas,31195.0,14688.0,0.6798814375694702
921,KS,Kiowa,114.0,900.0,0.11242603550295859
922,KS,Sedgwick,69627.0,104353.0,0.4002011725485688
923,KS,Hamilton,121.0,705.0,0.14648910411622276
924,KS,Decatur,178.0,1210.0,0.1282420749279539
925,KS,Mitchell,477.0,2308.0,0.17127468581687613
926,KS,Thomas,473.0,2908.0,0.139899438036084
927,KS,Dickinson,1609.0,6029.0,0.21065724011521342
928,KS,Linn,736.0,3484.0,0.17440758293838862
929,KS,Lyon,4649.0,6552.0,0.41505222747968934
930,KS,Brown,863.0,2906.0,0.22897320244096578
931,KS,Edwards,212.0,1037.0,0.16973578863090472
932,KS,Ford,2149.0,5114.0,0.2958832438386342
933,KS,Allen,1433.0,3651.0,0.28186467348544453
934,KS,Miami,3991.0,10003.0,0.2851936544233243
935,KS,Rush,233.0,1197.0,0.16293706293706295
936,KS,Anderson,672.0,2435.0,0.21628580624396523
937,KS,Atchison,1989.0,4049.0,0.3294137131500497
938,KS,Barber,286.0,1850.0,0.13389513108614232
939,KS,Barton,1839.0,7888.0,0.1890613755525856
940,KS,Bourbon,1336.0,4424.0,0.23194444444444445
941,KS,Chase,316.0,969.0,0.24591439688715952
942,KS,Chautauqua,197.0,1236.0,0.1374738311235171
943,KS,Cloud,761.0,2919.0,0.20679347826086958
944,KS,Coffey,727.0,3050.0,0.19248080487159122
945,KS,Comanche,102.0,715.0,0.12484700122399021
946,KS,Cowley,3551.0,8270.0,0.3003975974959817
947,KS,Doniphan,587.0,2606.0,0.18383964923269652
948,KS,Elk,160.0,1048.0,0.13245033112582782
949,KS,Ellis,2742.0,8466.0,0.24464668094218414
950,KS,Ellsworth,521.0,1969.0,0.20923694779116467
951,KS,Finney,3195.0,6350.0,0.33473022524882134
952,KS,Geary,2722.0,4274.0,0.38907947398513437
